Fe,C,Si,Mn,Cr,Ni,Mo,N,steel_type,PREN,CPT_C,corrosion_rate_mm_year,corrosion_resistance,environment
63.45,0.026,0.37,1.89,23.69,6.83,3.54,0.205,duplex,38.6,62.6,0.0159,very_good,atmospheric
72.8,0.126,0.52,0.51,14.78,8.5,2.59,0.175,stainless,26.1,34.8,0.0046,good,seawater
97.52,0.459,0.78,0.81,0.16,0.26,0.0,0.0,carbon,0.2,-20.0,0.1586,low,atmospheric
64.66,0.04,0.3,0.63,25.72,6.19,2.27,0.189,duplex,36.2,63.2,0.0192,very_good,seawater
65.26,0.115,0.28,1.19,19.18,12.02,1.88,0.073,stainless,26.6,36.9,0.0269,good,atmospheric
67.92,0.044,0.77,1.52,17.19,9.72,2.79,0.032,stainless,26.9,37.5,0.0215,good,industrial
66.02,0.024,0.67,1.35,22.42,6.48,2.9,0.141,duplex,34.2,57.1,0.0084,very_good,seawater
71.27,0.141,0.6,1.01,16.74,8.11,2.06,0.064,stainless,24.6,33.6,0.0029,good,industrial
92.44,0.223,0.23,1.59,3.25,1.37,0.9,0.0,low_alloy,6.2,-20.0,0.3112,low,atmospheric
97.89,0.266,0.86,0.63,0.01,0.34,0.0,0.0,carbon,0.0,-20.0,0.2888,low,acidic
74.21,0.107,0.22,1.36,14.54,7.12,2.38,0.065,stainless,23.4,27.6,0.0038,good,industrial
93.63,0.143,0.64,1.69,2.46,0.76,0.69,0.0,low_alloy,4.7,-19.0,0.1485,low,seawater
97.27,0.262,0.22,1.49,0.31,0.45,0.0,0.0,carbon,0.3,-20.0,0.168,low,acidic
93.44,0.167,0.28,0.72,4.2,1.12,0.07,0.0,low_alloy,4.4,-19.8,0.5955,low,acidic
97.51,0.435,0.65,1.13,0.14,0.14,0.0,0.0,carbon,0.1,-20.0,0.2423,low,acidic
76.88,0.146,0.29,0.73,12.47,7.43,2.03,0.031,stainless,19.7,19.1,0.0068,moderate,industrial
97.12,0.346,0.9,1.45,0.12,0.07,0.0,0.0,carbon,0.1,-20.0,0.1125,low,atmospheric
96.59,0.377,0.49,1.98,0.08,0.48,0.0,0.0,carbon,0.1,-20.0,0.2082,low,atmospheric
94.31,0.195,0.26,0.59,3.46,0.95,0.22,0.0,low_alloy,4.2,-20.0,0.173,low,seawater
68.69,0.047,0.93,0.6,14.39,13.24,1.92,0.184,stainless,23.7,29.6,0.0086,good,atmospheric
97.05,0.452,0.29,1.68,0.31,0.21,0.0,0.0,carbon,0.3,-20.0,0.1275,low,industrial
69.08,0.089,0.41,1.92,15.09,10.9,2.32,0.188,stainless,25.7,36.1,0.0014,good,seawater
96.45,0.399,0.84,1.56,0.47,0.29,0.0,0.0,carbon,0.5,-20.0,0.1659,low,industrial
73.47,0.118,0.67,1.83,13.87,7.96,1.93,0.158,stainless,22.8,23.5,0.0111,good,atmospheric
67.88,0.036,0.24,1.28,20.07,6.71,3.63,0.155,duplex,34.5,52.3,0.0014,very_good,atmospheric
69.08,0.021,0.86,0.56,21.57,5.56,2.22,0.123,duplex,30.9,52.0,0.0024,very_good,industrial
93.78,0.292,0.31,1.43,1.92,1.43,0.84,0.0,low_alloy,4.7,-15.4,0.6708,low,seawater
92.67,0.118,0.46,0.65,3.0,2.88,0.22,0.0,low_alloy,3.7,-20.0,0.1986,low,industrial
91.06,0.393,0.27,1.4,4.18,2.47,0.23,0.0,low_alloy,4.9,-18.3,0.2473,low,industrial
74.13,0.034,0.89,0.52,15.95,7.2,1.27,0.012,stainless,20.3,21.6,0.0199,good,acidic
93.96,0.275,0.63,0.64,2.27,1.31,0.91,0.0,low_alloy,5.3,-19.2,0.6536,low,acidic
96.26,0.457,0.74,1.62,0.49,0.44,0.0,0.0,carbon,0.5,-20.0,0.1642,low,industrial
64.22,0.042,0.8,0.66,24.38,6.34,3.31,0.255,duplex,39.4,77.7,0.0055,very_good,acidic
94.48,0.261,0.42,1.67,0.78,2.29,0.11,0.0,low_alloy,1.1,-20.0,0.6167,low,industrial
97.48,0.385,0.66,0.96,0.4,0.11,0.0,0.0,carbon,0.4,-20.0,0.1574,low,seawater
61.45,0.038,0.75,1.67,25.56,7.5,2.86,0.175,duplex,37.8,60.2,0.0086,very_good,atmospheric
97.12,0.382,0.33,1.85,0.25,0.06,0.0,0.0,carbon,0.3,-20.0,0.1516,low,seawater
92.14,0.319,0.98,0.68,3.58,1.8,0.5,0.0,low_alloy,5.2,-2.8,0.1045,low,seawater
66.64,0.122,0.84,1.53,15.77,13.0,1.93,0.153,stainless,24.6,33.7,0.0148,good,industrial
97.47,0.32,0.86,0.97,0.28,0.09,0.0,0.0,carbon,0.3,-20.0,0.3381,low,acidic
92.8,0.341,0.36,1.02,3.29,1.7,0.49,0.0,low_alloy,4.9,-16.6,0.2043,low,seawater
66.68,0.075,0.5,1.06,16.69,13.38,1.56,0.05,stainless,22.6,21.6,0.0141,good,seawater
94.34,0.201,0.63,1.45,1.11,1.92,0.36,0.0,low_alloy,2.3,-19.0,0.2048,low,seawater
66.11,0.032,0.95,0.81,22.15,7.54,2.27,0.125,duplex,31.6,49.7,0.0015,very_good,industrial
92.75,0.236,0.42,1.46,3.38,0.85,0.91,0.0,low_alloy,6.4,-19.9,0.6804,low,seawater
96.63,0.165,0.81,1.88,0.03,0.48,0.0,0.0,carbon,0.0,-20.0,0.1263,low,acidic
97.97,0.296,0.29,0.96,0.2,0.29,0.0,0.0,carbon,0.2,-20.0,0.3032,low,acidic
65.92,0.024,0.97,0.54,23.57,6.49,2.37,0.107,duplex,33.1,54.7,0.0235,very_good,acidic
96.99,0.409,0.59,1.46,0.45,0.09,0.0,0.0,carbon,0.5,-20.0,0.1807,low,industrial
95.9,0.312,0.5,0.62,2.39,0.26,0.01,0.0,low_alloy,2.4,-20.0,0.3194,low,seawater
97.51,0.418,0.59,0.63,0.44,0.42,0.0,0.0,carbon,0.4,-20.0,0.193,low,industrial
91.81,0.388,0.65,1.4,3.04,1.92,0.78,0.0,low_alloy,5.6,-12.2,0.2062,low,industrial
73.1,0.06,0.64,0.56,15.6,7.67,2.28,0.098,stainless,24.7,34.1,0.0107,good,industrial
97.16,0.253,0.38,1.78,0.21,0.22,0.0,0.0,carbon,0.2,-19.8,0.2904,low,industrial
96.87,0.324,0.53,1.45,0.41,0.41,0.0,0.0,carbon,0.4,-20.0,0.1217,low,acidic
97.46,0.292,0.74,0.74,0.45,0.32,0.0,0.0,carbon,0.5,-20.0,0.4056,low,atmospheric
59.47,0.036,0.95,1.71,26.38,7.57,3.7,0.175,duplex,41.4,68.3,0.02,excellent,atmospheric
95.32,0.381,0.65,0.99,1.58,0.38,0.69,0.0,low_alloy,3.9,-20.0,0.1097,low,seawater
65.03,0.045,0.21,1.27,17.75,13.58,1.98,0.131,stainless,26.4,36.9,0.018,good,seawater
65.5,0.05,0.47,0.59,18.79,13.72,0.84,0.041,stainless,22.2,32.0,0.012,good,acidic
91.27,0.29,0.57,1.1,4.26,2.43,0.08,0.0,low_alloy,4.5,-15.4,0.3789,low,acidic
70.73,0.065,0.29,0.53,17.65,9.79,0.77,0.178,stainless,23.0,26.6,0.0087,good,seawater
69.54,0.033,0.44,0.83,21.43,4.53,2.98,0.213,duplex,34.7,55.7,0.0018,very_good,atmospheric
65.38,0.023,0.63,1.14,25.19,5.38,2.05,0.202,duplex,35.2,59.5,0.0127,very_good,atmospheric
97.98,0.252,0.68,0.63,0.08,0.38,0.0,0.0,carbon,0.1,-20.0,0.195,low,atmospheric
93.54,0.236,0.62,1.5,1.96,1.93,0.2,0.0,low_alloy,2.6,-20.0,0.197,low,seawater
74.07,0.137,0.3,0.96,15.82,6.04,2.64,0.033,stainless,25.1,36.7,0.0058,good,acidic
94.53,0.217,0.85,1.1,0.72,1.91,0.67,0.0,low_alloy,2.9,-20.0,0.1258,low,acidic
71.26,0.121,0.24,0.88,15.23,10.2,1.99,0.08,stainless,23.1,23.5,0.0032,good,seawater
68.55,0.042,0.96,0.55,23.16,4.25,2.23,0.263,duplex,34.7,55.7,0.0034,very_good,industrial
92.91,0.332,0.74,0.68,2.61,2.5,0.23,0.0,low_alloy,3.4,-17.8,0.1188,low,atmospheric
65.37,0.044,0.43,1.88,24.59,4.66,2.77,0.253,duplex,37.8,65.0,0.011,very_good,industrial
67.22,0.028,0.24,1.32,22.56,4.54,3.85,0.245,duplex,39.2,72.1,0.0052,very_good,acidic
65.76,0.03,0.33,1.43,24.51,4.66,3.12,0.159,duplex,37.3,64.3,0.0254,very_good,industrial
66.44,0.091,0.27,1.58,16.09,13.54,1.85,0.143,stainless,24.5,41.6,0.0041,good,atmospheric
97.67,0.44,0.55,0.8,0.35,0.2,0.0,0.0,carbon,0.3,-20.0,0.4589,low,seawater
98.18,0.137,0.24,0.62,0.45,0.37,0.0,0.0,carbon,0.5,-20.0,0.331,low,acidic
92.53,0.317,0.24,1.0,2.32,2.9,0.69,0.0,low_alloy,4.6,-20.0,0.1005,low,acidic
64.9,0.036,0.95,1.76,24.43,4.37,3.33,0.223,duplex,39.0,68.5,0.0297,very_good,industrial
98.01,0.276,0.61,0.73,0.24,0.14,0.0,0.0,carbon,0.2,-20.0,0.6558,low,atmospheric
93.85,0.367,0.45,2.0,1.06,1.95,0.32,0.0,low_alloy,2.1,-20.0,0.1512,low,industrial
61.31,0.038,0.53,1.39,25.19,7.93,3.4,0.212,duplex,39.8,62.8,0.0121,very_good,acidic
98.13,0.296,0.69,0.6,0.13,0.16,0.0,0.0,carbon,0.1,-20.0,0.1024,low,acidic
70.44,0.042,0.72,1.59,13.58,12.19,1.34,0.094,stainless,19.5,18.7,0.0197,moderate,seawater
66.25,0.033,0.65,1.23,23.07,5.86,2.62,0.276,duplex,36.1,60.1,0.0073,very_good,atmospheric
96.91,0.389,0.43,1.98,0.07,0.22,0.0,0.0,carbon,0.1,-20.0,0.2059,low,seawater
69.66,0.038,0.48,1.75,21.58,4.14,2.19,0.157,duplex,31.3,47.6,0.0041,very_good,industrial
67.89,0.121,0.21,1.89,18.95,9.94,0.85,0.154,stainless,24.2,31.3,0.0043,good,industrial
70.31,0.15,0.99,1.56,18.1,8.71,0.06,0.128,stainless,20.3,26.3,0.0019,good,acidic
92.58,0.133,0.27,0.69,4.6,0.99,0.73,0.0,low_alloy,7.0,-8.0,0.145,low,atmospheric
97.35,0.348,0.28,1.31,0.4,0.31,0.0,0.0,carbon,0.4,-20.0,0.5319,low,seawater
69.23,0.096,0.31,1.96,19.97,6.84,1.44,0.155,stainless,27.2,31.3,0.0034,good,acidic
72.7,0.095,0.87,0.91,15.43,7.55,2.43,0.012,stainless,23.6,22.6,0.0078,good,industrial
97.0,0.328,0.44,1.33,0.4,0.49,0.0,0.0,carbon,0.4,-20.0,0.2296,low,seawater
60.84,0.043,0.56,1.41,25.92,7.86,3.13,0.234,duplex,40.0,76.2,0.0053,very_good,atmospheric
70.58,0.023,0.78,1.74,12.23,11.73,2.79,0.126,stainless,23.5,24.6,0.028,good,acidic
94.04,0.233,0.21,0.66,1.48,2.68,0.71,0.0,low_alloy,3.8,-20.0,0.9173,low,industrial
98.01,0.213,0.39,1.03,0.27,0.09,0.0,0.0,carbon,0.3,-20.0,0.2387,low,seawater
96.76,0.194,0.29,1.21,0.68,0.15,0.72,0.0,low_alloy,3.0,-20.0,0.4695,low,acidic
62.59,0.065,0.96,1.73,18.98,12.92,2.64,0.114,stainless,29.5,52.9,0.0023,good,industrial
95.32,0.179,0.59,1.4,1.78,0.38,0.36,0.0,low_alloy,3.0,-20.0,0.1727,low,atmospheric
70.39,0.088,0.89,0.74,17.1,8.23,2.44,0.125,stainless,27.2,33.5,0.0034,good,atmospheric
93.62,0.368,0.22,1.06,3.01,0.99,0.75,0.0,low_alloy,5.5,-17.7,0.2837,low,seawater
67.06,0.038,0.45,1.47,21.48,5.35,3.86,0.295,duplex,38.9,64.0,0.0167,very_good,seawater
97.08,0.44,0.23,1.62,0.31,0.31,0.0,0.0,carbon,0.3,-20.0,0.8621,low,atmospheric
63.93,0.025,0.29,0.82,26.84,5.16,2.82,0.115,duplex,38.0,75.5,0.0103,very_good,industrial
97.72,0.298,0.42,0.7,0.4,0.47,0.0,0.0,carbon,0.4,-20.0,0.2107,low,acidic
95.09,0.365,0.64,0.56,1.58,1.65,0.12,0.0,low_alloy,2.0,-20.0,0.2188,low,acidic
97.83,0.176,0.2,1.29,0.4,0.1,0.0,0.0,carbon,0.4,-20.0,0.1245,low,atmospheric
97.76,0.167,0.65,0.78,0.41,0.24,0.0,0.0,carbon,0.4,-20.0,0.159,low,industrial
68.05,0.082,0.93,1.82,13.84,12.36,2.82,0.086,stainless,24.5,26.3,0.0028,good,industrial
97.68,0.291,0.45,1.15,0.26,0.17,0.0,0.0,carbon,0.3,-20.0,0.348,low,industrial
94.86,0.329,0.97,1.73,1.36,0.26,0.49,0.0,low_alloy,3.0,-20.0,0.2654,low,industrial
60.49,0.041,0.7,1.91,25.69,7.74,3.22,0.203,duplex,39.6,62.1,0.0111,very_good,atmospheric
97.74,0.327,0.73,0.59,0.25,0.37,0.0,0.0,carbon,0.3,-20.0,0.3584,low,industrial
66.17,0.142,0.75,0.61,19.77,9.59,2.91,0.062,stainless,30.4,46.3,0.0052,very_good,seawater
96.57,0.448,0.83,1.9,0.11,0.15,0.0,0.0,carbon,0.1,-20.0,0.1195,low,atmospheric
69.55,0.104,0.6,1.64,13.85,12.05,2.18,0.028,stainless,21.5,22.9,0.0023,good,industrial
98.07,0.187,0.51,0.91,0.25,0.07,0.0,0.0,carbon,0.3,-20.0,0.3741,low,atmospheric
60.61,0.023,0.34,1.94,26.67,6.98,3.23,0.196,duplex,40.5,75.8,0.0058,excellent,acidic
97.76,0.323,0.32,0.51,0.71,0.16,0.21,0.0,low_alloy,1.4,-20.0,0.2951,low,acidic
93.11,0.387,0.88,1.44,2.48,0.84,0.86,0.0,low_alloy,5.3,-14.4,0.1393,low,atmospheric
71.43,0.124,0.88,0.92,16.51,7.97,2.01,0.153,stainless,25.6,32.7,0.0013,good,seawater
98.32,0.442,0.41,0.52,0.1,0.21,0.0,0.0,carbon,0.1,-20.0,0.1651,low,acidic
91.94,0.297,0.65,0.91,3.59,2.28,0.34,0.0,low_alloy,4.7,-12.2,0.4598,low,seawater
97.91,0.197,0.6,0.55,0.45,0.29,0.0,0.0,carbon,0.4,-20.0,0.1891,low,industrial
71.57,0.095,0.45,0.84,13.02,13.35,0.53,0.149,stainless,17.2,22.7,0.0092,moderate,seawater
96.85,0.391,0.9,1.58,0.12,0.17,0.0,0.0,carbon,0.1,-20.0,0.414,low,atmospheric
75.24,0.072,0.56,1.59,14.3,6.97,1.26,0.003,stainless,18.5,20.9,0.0334,moderate,industrial
94.53,0.184,0.56,1.37,2.72,0.51,0.12,0.0,low_alloy,3.1,-20.0,0.3756,low,atmospheric
90.26,0.235,0.21,1.8,4.71,2.11,0.68,0.0,low_alloy,7.0,-9.1,0.4153,low,acidic
98.22,0.217,0.73,0.78,0.03,0.03,0.0,0.0,carbon,0.0,-20.0,0.1793,low,acidic
96.54,0.113,0.93,1.71,0.23,0.47,0.0,0.0,carbon,0.2,-20.0,0.2981,low,acidic
66.72,0.035,0.4,0.9,21.26,6.74,3.84,0.104,duplex,35.6,58.0,0.0058,very_good,atmospheric
98.14,0.444,0.22,0.66,0.47,0.06,0.0,0.0,carbon,0.5,-20.0,0.5914,low,industrial
70.69,0.037,0.35,0.84,21.59,4.08,2.17,0.242,duplex,32.6,59.1,0.0073,very_good,industrial
93.58,0.23,0.83,1.9,1.4,1.61,0.45,0.0,low_alloy,2.9,-20.0,0.4619,low,acidic
62.31,0.026,0.66,1.22,26.4,5.54,3.54,0.298,duplex,42.9,72.4,0.0077,excellent,acidic
67.97,0.041,0.38,1.67,16.88,10.61,2.28,0.175,stainless,27.2,41.1,0.0056,good,industrial
96.86,0.44,0.58,1.69,0.13,0.3,0.0,0.0,carbon,0.1,-20.0,0.1679,low,atmospheric
73.3,0.099,0.34,0.59,15.65,9.03,0.99,0.002,stainless,19.0,21.2,0.0199,moderate,seawater
70.59,0.13,0.81,0.5,18.54,7.77,1.48,0.182,stainless,26.3,34.5,0.0043,good,acidic
92.81,0.368,0.85,0.95,3.44,1.09,0.49,0.0,low_alloy,5.1,-17.5,0.2909,low,seawater
95.16,0.244,0.38,1.0,0.61,2.56,0.05,0.0,low_alloy,0.8,-20.0,0.1168,low,acidic
65.46,0.124,0.5,1.39,17.7,12.65,2.03,0.15,stainless,26.8,41.1,0.0174,good,seawater
97.41,0.269,0.75,0.94,0.37,0.27,0.0,0.0,carbon,0.4,-20.0,0.1037,low,seawater
97.83,0.234,0.8,0.62,0.12,0.4,0.0,0.0,carbon,0.1,-20.0,0.339,low,atmospheric
93.37,0.14,0.32,1.91,3.83,0.26,0.18,0.0,low_alloy,4.4,-20.0,0.4454,low,acidic
66.64,0.141,0.91,1.74,17.58,10.48,2.38,0.129,stainless,27.5,47.1,0.0032,good,acidic
98.4,0.126,0.22,0.97,0.11,0.17,0.0,0.0,carbon,0.1,-20.0,0.1018,low,acidic
62.14,0.024,0.91,0.69,26.11,5.88,3.97,0.277,duplex,43.6,81.4,0.0074,excellent,industrial
70.96,0.039,0.67,1.64,16.59,8.75,1.16,0.178,stainless,23.3,29.9,0.0167,good,acidic
92.85,0.39,0.24,0.85,4.05,1.46,0.16,0.0,low_alloy,4.6,-8.4,0.1832,low,industrial
68.82,0.027,0.47,1.51,20.58,6.09,2.25,0.249,duplex,32.0,49.3,0.0227,very_good,acidic
96.3,0.215,0.79,1.83,0.47,0.39,0.0,0.0,carbon,0.5,-20.0,0.3937,low,seawater
65.87,0.038,0.36,0.65,25.9,4.72,2.33,0.132,duplex,35.7,61.1,0.0026,very_good,industrial
69.0,0.039,0.46,0.92,21.93,4.91,2.5,0.246,duplex,34.1,57.3,0.0012,very_good,seawater
96.94,0.401,0.43,1.51,0.24,0.47,0.0,0.0,carbon,0.2,-20.0,0.4725,low,acidic
95.32,0.188,0.28,1.51,0.87,1.07,0.76,0.0,low_alloy,3.4,-20.0,0.541,low,industrial
97.2,0.445,0.83,1.17,0.03,0.33,0.0,0.0,carbon,0.0,-20.0,0.1933,low,industrial
66.51,0.036,0.22,1.22,23.74,4.81,3.36,0.104,duplex,36.5,59.4,0.0088,very_good,seawater
96.59,0.321,0.72,1.94,0.26,0.17,0.0,0.0,carbon,0.3,-20.0,0.1569,low,seawater
63.41,0.039,0.27,1.59,24.48,7.57,2.47,0.174,duplex,35.4,58.3,0.0196,very_good,atmospheric
94.04,0.207,0.49,1.28,3.46,0.23,0.29,0.0,low_alloy,4.4,-20.0,0.2556,low,seawater
96.83,0.111,0.94,1.47,0.34,0.31,0.0,0.0,carbon,0.3,-20.0,0.2961,low,atmospheric
70.34,0.055,0.43,0.92,16.77,10.16,1.32,0.016,stainless,21.4,25.3,0.0036,good,acidic
63.44,0.05,0.85,0.73,24.84,7.55,2.29,0.26,duplex,36.6,62.4,0.0028,very_good,seawater
66.77,0.048,0.51,1.52,19.8,8.9,2.28,0.161,stainless,29.9,43.6,0.0352,good,industrial
91.67,0.216,0.88,0.54,4.06,2.0,0.63,0.0,low_alloy,6.1,-19.1,0.395,low,atmospheric
65.79,0.02,0.72,1.88,23.91,5.39,2.1,0.184,duplex,33.8,59.5,0.0023,very_good,industrial
97.21,0.488,0.7,1.04,0.44,0.12,0.0,0.0,carbon,0.4,-20.0,0.2264,low,industrial
73.91,0.116,0.59,1.93,13.91,8.53,0.87,0.156,stainless,19.3,15.5,0.0164,moderate,industrial
92.3,0.176,0.78,1.22,2.13,2.92,0.48,0.0,low_alloy,3.7,-17.8,0.1929,low,industrial
97.8,0.439,0.61,0.97,0.04,0.14,0.0,0.0,carbon,0.0,-20.0,0.4197,low,atmospheric
74.79,0.058,0.5,1.53,14.76,7.46,0.76,0.143,stainless,19.6,20.1,0.0082,moderate,industrial
93.24,0.25,0.36,0.7,3.9,0.89,0.65,0.0,low_alloy,6.0,-20.0,0.3863,low,industrial
93.21,0.124,0.84,0.73,3.35,1.41,0.33,0.0,low_alloy,4.4,-20.0,0.5889,low,seawater
66.35,0.08,0.45,1.26,19.43,12.09,0.22,0.116,stainless,22.0,24.9,0.0017,good,atmospheric
65.92,0.021,0.32,1.9,22.44,5.91,3.29,0.201,duplex,36.5,69.8,0.0115,very_good,seawater
64.47,0.049,0.35,0.85,26.18,4.57,3.31,0.212,duplex,40.5,62.0,0.019,excellent,atmospheric
96.76,0.466,0.41,1.57,0.42,0.37,0.0,0.0,carbon,0.4,-20.0,0.2155,low,seawater
96.84,0.225,0.75,1.74,0.42,0.02,0.0,0.0,carbon,0.4,-20.0,0.1671,low,atmospheric
96.23,0.199,0.27,1.89,0.52,0.12,0.77,0.0,low_alloy,3.1,-19.7,0.2169,low,acidic
72.63,0.036,0.28,1.23,19.41,6.27,0.13,0.011,stainless,20.0,16.6,0.0147,good,acidic
77.36,0.138,0.59,1.19,13.19,7.08,0.37,0.072,stainless,15.6,13.5,0.004,moderate,acidic
94.38,0.201,0.72,1.64,2.15,0.32,0.59,0.0,low_alloy,4.1,-18.7,0.1538,low,acidic
62.11,0.047,0.88,0.71,25.53,7.13,3.44,0.153,duplex,39.3,69.9,0.0053,very_good,industrial
70.88,0.093,0.4,1.5,15.71,9.68,1.66,0.083,stainless,22.5,25.8,0.0115,good,acidic
97.67,0.124,0.73,1.26,0.21,0.0,0.0,0.0,carbon,0.2,-20.0,0.1271,low,industrial
91.14,0.37,0.83,1.72,2.03,2.95,0.96,0.0,low_alloy,5.2,-20.0,0.7176,low,atmospheric
94.09,0.129,0.36,1.72,1.19,2.13,0.38,0.0,low_alloy,2.5,-20.0,0.2341,low,seawater
69.16,0.025,0.79,0.89,21.35,4.5,3.03,0.255,duplex,35.4,62.6,0.0011,very_good,seawater
97.98,0.344,0.57,1.0,0.09,0.01,0.0,0.0,carbon,0.1,-20.0,0.4242,low,acidic
71.54,0.1,0.47,1.73,14.34,9.69,2.11,0.014,stainless,21.5,32.4,0.002,good,industrial
97.42,0.14,0.91,1.05,0.43,0.05,0.0,0.0,carbon,0.4,-20.0,0.2959,low,acidic
69.45,0.021,0.31,1.52,14.13,13.27,1.16,0.141,stainless,20.2,21.5,0.0049,good,acidic
97.37,0.167,0.51,1.48,0.31,0.17,0.0,0.0,carbon,0.3,-20.0,0.1394,low,seawater
97.97,0.396,0.75,0.53,0.29,0.06,0.0,0.0,carbon,0.3,-20.0,0.1249,low,industrial
63.26,0.049,0.79,1.49,25.42,4.95,3.93,0.128,duplex,40.4,75.8,0.0182,excellent,industrial
97.4,0.261,0.23,1.59,0.31,0.2,0.0,0.0,carbon,0.3,-20.0,0.1721,low,acidic
90.99,0.322,0.81,0.88,3.78,2.46,0.76,0.0,low_alloy,6.3,-4.9,0.1214,low,seawater
60.14,0.023,0.62,1.6,26.87,7.5,3.07,0.17,duplex,39.7,68.7,0.0173,very_good,acidic
95.41,0.112,0.32,0.52,1.91,1.53,0.19,0.0,low_alloy,2.5,-20.0,0.5851,low,atmospheric
93.16,0.21,0.84,1.43,1.43,2.22,0.71,0.0,low_alloy,3.8,-20.0,0.3023,low,atmospheric
70.21,0.109,0.67,1.66,12.83,12.89,1.52,0.106,stainless,19.5,27.0,0.0075,moderate,acidic
95.62,0.187,0.9,1.65,1.08,0.57,0.0,0.0,low_alloy,1.1,-20.0,0.3992,low,seawater
73.97,0.132,0.51,0.89,12.77,8.93,2.8,0.002,stainless,22.1,23.9,0.0086,good,industrial
96.16,0.448,0.52,1.98,0.47,0.42,0.0,0.0,carbon,0.5,-20.0,0.1197,low,atmospheric
94.58,0.319,0.46,0.95,1.05,1.65,0.99,0.0,low_alloy,4.3,-12.7,0.5672,low,atmospheric
93.08,0.38,0.22,1.06,4.01,1.17,0.08,0.0,low_alloy,4.3,-19.9,0.3684,low,seawater
60.13,0.037,0.77,1.4,26.77,6.91,3.83,0.148,duplex,41.8,83.9,0.0268,excellent,seawater
68.07,0.028,0.91,0.79,22.69,4.88,2.44,0.194,duplex,33.9,58.4,0.0051,very_good,atmospheric
72.9,0.055,0.85,0.74,15.54,6.76,2.98,0.178,stainless,28.2,38.3,0.0359,good,atmospheric
97.69,0.274,0.53,0.67,0.34,0.5,0.0,0.0,carbon,0.3,-20.0,0.9681,low,acidic
65.64,0.021,0.32,1.46,23.44,6.87,2.05,0.183,duplex,33.1,58.4,0.0325,very_good,industrial
92.58,0.308,0.81,1.79,2.28,1.69,0.54,0.0,low_alloy,4.1,-20.0,0.2416,low,seawater
92.69,0.383,0.3,1.83,2.21,2.18,0.41,0.0,low_alloy,3.6,-20.0,0.6375,low,industrial
93.14,0.105,0.35,0.73,4.17,1.43,0.08,0.0,low_alloy,4.4,-20.0,0.1273,low,seawater
96.15,0.387,0.32,0.74,1.12,0.69,0.59,0.0,low_alloy,3.1,-17.0,0.1821,low,industrial
61.56,0.049,0.62,1.45,25.89,6.78,3.44,0.194,duplex,40.4,68.5,0.0035,excellent,acidic
67.88,0.03,0.37,1.46,21.88,5.69,2.58,0.118,duplex,32.3,52.1,0.0035,very_good,industrial
94.56,0.13,0.73,0.55,0.69,2.58,0.76,0.0,low_alloy,3.2,-18.5,0.1313,low,acidic
97.5,0.334,0.53,0.94,0.37,0.32,0.0,0.0,carbon,0.4,-20.0,0.3234,low,industrial
93.87,0.113,0.29,1.9,2.21,1.05,0.56,0.0,low_alloy,4.1,-15.9,0.4396,low,atmospheric
63.95,0.024,0.58,0.95,26.03,6.14,2.04,0.287,duplex,37.3,63.8,0.0083,very_good,seawater
96.98,0.144,0.87,1.67,0.18,0.16,0.0,0.0,carbon,0.2,-20.0,0.2003,low,seawater
97.26,0.496,0.8,0.68,0.27,0.49,0.0,0.0,carbon,0.3,-20.0,0.4179,low,seawater
90.79,0.26,0.9,1.9,3.26,2.68,0.21,0.0,low_alloy,4.0,-20.0,0.7368,low,seawater
97.96,0.349,0.74,0.57,0.28,0.11,0.0,0.0,carbon,0.3,-20.0,0.1454,low,acidic
94.51,0.386,0.9,0.61,2.67,0.51,0.42,0.0,low_alloy,4.1,-20.0,0.13,low,seawater
69.39,0.084,0.66,0.87,13.3,13.15,2.54,0.005,stainless,21.7,23.6,0.0086,good,seawater
92.34,0.195,0.29,1.95,3.21,1.62,0.4,0.0,low_alloy,4.5,-16.5,0.1173,low,atmospheric
97.7,0.138,0.43,1.3,0.11,0.32,0.0,0.0,carbon,0.1,-20.0,0.1266,low,atmospheric
78.86,0.115,0.28,0.92,12.28,6.89,0.64,0.004,stainless,14.5,14.8,0.0107,moderate,acidic
67.32,0.043,0.41,1.84,18.73,8.62,2.96,0.077,stainless,29.7,48.9,0.0094,good,seawater
97.42,0.263,0.55,0.86,0.44,0.46,0.0,0.0,carbon,0.4,-20.0,0.2948,low,seawater
70.88,0.065,0.72,0.94,19.32,6.9,1.08,0.099,stainless,24.5,31.8,0.0268,good,industrial
76.93,0.124,0.3,1.46,12.91,6.63,1.49,0.153,stainless,20.3,29.5,0.0067,good,industrial
93.79,0.148,0.99,0.57,1.47,2.71,0.33,0.0,low_alloy,2.6,-20.0,0.237,low,seawater
91.04,0.399,0.8,1.83,4.96,0.71,0.27,0.0,low_alloy,5.8,-11.1,0.1131,low,seawater
65.96,0.041,0.4,0.99,21.33,7.11,3.89,0.28,duplex,38.6,68.5,0.0079,very_good,industrial
97.22,0.482,0.47,1.36,0.08,0.38,0.0,0.0,carbon,0.1,-20.0,0.4006,low,industrial
64.0,0.025,0.27,0.73,25.11,7.25,2.47,0.146,duplex,35.6,56.0,0.0011,very_good,acidic
65.85,0.047,0.84,1.78,21.05,7.01,3.15,0.288,duplex,36.0,65.8,0.0053,very_good,seawater
